Time,QR,Line,ESD
21-02-2022 09:31:11 UTC,7352210450,Line 1,"-145,65295676390332"
21-02-2022 09:31:13 UTC,7352210450,Line 1,"4,641918341318796"
21-02-2022 09:31:15 UTC,7352210450,Line 1,"11,964870492617319"
21-02-2022 09:31:17 UTC,7352210450,Line 1,"34,979862968126966"
21-02-2022 09:31:19 UTC,7352210450,Line 1,"40,90796709060669"
21-02-2022 09:31:21 UTC,7352210450,Line 1,"63,57424755891161"
21-02-2022 09:31:23 UTC,7352210450,Line 1,"-193,07778974374133"
21-02-2022 09:31:25 UTC,7352210450,Line 1,"-178,08317343393963"
21-02-2022 09:31:27 UTC,7352210450,Line 1,"-167,6218132177989"
21-02-2022 09:31:29 UTC,7352210450,Line 1,"-161,6937090953191"
21-02-2022 09:31:32 UTC,7352210450,Line 1,"-157,8578770160675"
21-02-2022 09:31:34 UTC,7352210450,Line 1,"-146,6990927855174"
21-02-2022 09:31:36 UTC,7352210450,Line 1,"-144,60682074228924"
21-02-2022 09:31:38 UTC,7352210450,Line 1,"-146,00166877110797"
21-02-2022 09:31:40 UTC,7352210450,Line 1,"-144,25810873508453"
21-02-2022 09:31:42 UTC,7352210450,Line 1,"-142,86326070626575"
21-02-2022 09:31:44 UTC,7352210450,Line 1,"-142,16583669185638"
21-02-2022 09:31:46 UTC,7352210450,Line 1,"-140,7709886630376"
21-02-2022 09:31:48 UTC,7352210450,Line 1,"-139,37614063421887"
21-02-2022 09:31:50 UTC,7352210450,Line 1,"-138,67871661980945"
21-02-2022 09:31:52 UTC,7352210450,Line 1,"-137,98129260540009"
21-02-2022 09:31:54 UTC,7352210450,Line 1,"-137,28386859099072"
21-02-2022 09:31:56 UTC,7352210450,Line 1,"-136,23773256937665"
21-02-2022 09:31:58 UTC,7352210450,Line 1,"-139,37614063421887"
21-02-2022 09:32:00 UTC,7352210450,Line 1,"-132,401900490125"
21-02-2022 09:32:02 UTC,7352210450,Line 1,"358,9333176612854"
21-02-2022 09:32:04 UTC,7352210450,Line 1,"438,0909432967504"
21-02-2022 09:32:06 UTC,7352210450,Line 1,"438,0909432967504"
21-02-2022 09:32:08 UTC,7352210450,Line 1,"438,4396553039551"
21-02-2022 09:32:10 UTC,7352210450,Line 1,"438,4396553039551"
21-02-2022 09:32:13 UTC,7352210450,Line 1,"438,0909432967504"
21-02-2022 09:32:15 UTC,7352210450,Line 1,"438,4396553039551"
21-02-2022 09:32:17 UTC,7352210450,Line 1,"438,4396553039551"
21-02-2022 09:32:19 UTC,7352210450,Line 1,"438,0909432967504"
21-02-2022 09:32:21 UTC,7352210450,Line 1,"438,0909432967504"
21-02-2022 09:32:23 UTC,7352210450,Line 1,"438,4396553039551"
21-02-2022 09:32:25 UTC,7352210450,Line 1,"284,30894811948144"
21-02-2022 09:32:27 UTC,7352210450,Line 1,"50,32319128513336"
21-02-2022 09:32:29 UTC,7352210450,Line 1,"25,56463877360029"
21-02-2022 09:32:31 UTC,7352210450,Line 1,"17,195550600687692"
21-02-2022 09:32:33 UTC,7352210450,Line 1,"16,84683859348297"
21-02-2022 09:32:35 UTC,7352210450,Line 1,"16,49812658627825"
21-02-2022 09:32:37 UTC,7352210450,Line 1,"16,149414579073618"
21-02-2022 09:32:39 UTC,7352210450,Line 1,"16,149414579073618"
21-02-2022 09:32:41 UTC,7352210450,Line 1,"16,84683859348297"
21-02-2022 09:32:43 UTC,7352210450,Line 1,"15,800702571868896"
21-02-2022 09:32:45 UTC,7352210450,Line 1,"9,87259844938917"
21-02-2022 09:32:47 UTC,7352210450,Line 1,"13,359718521436026"
21-02-2022 09:32:50 UTC,7352210450,Line 1,"11,964870492617319"
21-02-2022 09:32:52 UTC,7352210450,Line 1,"13,011006514231394"
21-02-2022 09:32:54 UTC,7352210450,Line 1,"12,313582499821951"
21-02-2022 09:32:56 UTC,7352210450,Line 1,"13,708430528640747"
21-02-2022 09:32:58 UTC,7352210450,Line 1,"15,800702571868896"
21-02-2022 09:33:00 UTC,7352210450,Line 1,"15,800702571868896"
21-02-2022 09:33:02 UTC,7352210450,Line 1,"15,103278557459543"
21-02-2022 09:33:04 UTC,7352210450,Line 1,"25,56463877360029"
21-02-2022 09:33:06 UTC,7352210450,Line 1,"122,15786476929979"
21-02-2022 09:33:08 UTC,7352210450,Line 1,"77,87143985430403"
21-02-2022 09:33:10 UTC,7352210450,Line 1,"39,51311906178789"
21-02-2022 09:33:12 UTC,7352210450,Line 1,"38,11827103296919"
21-02-2022 09:33:14 UTC,7352210450,Line 1,"54,159023364384936"
21-02-2022 09:33:16 UTC,7352210450,Line 1,"39,164407054583265"
21-02-2022 09:33:18 UTC,7352210450,Line 1,"20,68267067273455"
21-02-2022 09:33:20 UTC,7352210450,Line 1,"15,800702571868896"
21-02-2022 09:33:22 UTC,7352210450,Line 1,"15,800702571868896"
21-02-2022 09:33:24 UTC,7352210450,Line 1,"19,985246658325195"
21-02-2022 09:33:26 UTC,7352210450,Line 1,"20,333958665529916"
21-02-2022 09:33:28 UTC,7352210450,Line 1,"14,754566550254822"
21-02-2022 09:33:30 UTC,7352210450,Line 1,"15,103278557459543"
21-02-2022 09:33:32 UTC,7352210450,Line 1,"16,149414579073618"
21-02-2022 09:33:34 UTC,7352210450,Line 1,"14,4058545430501"
21-02-2022 09:33:36 UTC,7352210450,Line 1,"16,84683859348297"
21-02-2022 09:33:38 UTC,7352210450,Line 1,"17,892974615097046"
21-02-2022 09:33:40 UTC,7352210450,Line 1,"17,544262607892325"
21-02-2022 09:33:42 UTC,7352210450,Line 1,"18,241686622301767"
21-02-2022 09:33:44 UTC,7352210450,Line 1,"17,892974615097046"
21-02-2022 09:33:46 UTC,7352210450,Line 1,"18,5903986295064"
21-02-2022 09:33:49 UTC,7352210450,Line 1,"19,636534651120474"
21-02-2022 09:33:51 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:33:53 UTC,7352210450,Line 1,"23,47236673037214"
21-02-2022 09:33:55 UTC,7352210450,Line 1,"33,23630293210344"
21-02-2022 09:33:57 UTC,7352210450,Line 1,"26,610774795214365"
21-02-2022 09:33:59 UTC,7352210450,Line 1,"23,47236673037214"
21-02-2022 09:34:01 UTC,7352210450,Line 1,"23,47236673037214"
21-02-2022 09:34:03 UTC,7352210450,Line 1,"22,426230708758066"
21-02-2022 09:34:05 UTC,7352210450,Line 1,"16,84683859348297"
21-02-2022 09:34:07 UTC,7352210450,Line 1,"20,333958665529916"
21-02-2022 09:34:09 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:34:11 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:34:13 UTC,7352210450,Line 1,"20,333958665529916"
21-02-2022 09:34:15 UTC,7352210450,Line 1,"21,03138267993927"
21-02-2022 09:34:17 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:34:19 UTC,7352210450,Line 1,"29,74918286005659"
21-02-2022 09:34:21 UTC,7352210450,Line 1,"30,09789486726122"
21-02-2022 09:34:23 UTC,7352210450,Line 1,"30,446606874465942"
21-02-2022 09:34:25 UTC,7352210450,Line 1,"29,400470852851868"
21-02-2022 09:34:27 UTC,7352210450,Line 1,"30,09789486726122"
21-02-2022 09:34:29 UTC,7352210450,Line 1,"29,051758845647147"
21-02-2022 09:34:31 UTC,7352210450,Line 1,"29,400470852851868"
21-02-2022 09:34:34 UTC,7352210450,Line 1,"29,051758845647147"
21-02-2022 09:34:36 UTC,7352210450,Line 1,"29,400470852851868"
21-02-2022 09:34:38 UTC,7352210450,Line 1,"29,400470852851868"
21-02-2022 09:34:40 UTC,7352210450,Line 1,"28,703046838442514"
21-02-2022 09:34:42 UTC,7352210450,Line 1,"29,051758845647147"
21-02-2022 09:34:44 UTC,7352210450,Line 1,"28,703046838442514"
21-02-2022 09:34:46 UTC,7352210450,Line 1,"28,703046838442514"
21-02-2022 09:34:48 UTC,7352210450,Line 1,"28,354334831237793"
21-02-2022 09:34:50 UTC,7352210450,Line 1,"28,354334831237793"
21-02-2022 09:34:52 UTC,7352210450,Line 1,"27,65691081682844"
21-02-2022 09:34:54 UTC,7352210450,Line 1,"28,005622824033072"
21-02-2022 09:34:56 UTC,7352210450,Line 1,"27,65691081682844"
21-02-2022 09:34:58 UTC,7352210450,Line 1,"28,005622824033072"
21-02-2022 09:35:00 UTC,7352210450,Line 1,"26,610774795214365"
21-02-2022 09:35:02 UTC,7352210450,Line 1,"26,959486802418997"
21-02-2022 09:35:04 UTC,7352210450,Line 1,"26,262062788009644"
21-02-2022 09:35:06 UTC,7352210450,Line 1,"26,959486802418997"
21-02-2022 09:35:08 UTC,7352210450,Line 1,"26,262062788009644"
21-02-2022 09:35:10 UTC,7352210450,Line 1,"26,262062788009644"
21-02-2022 09:35:12 UTC,7352210450,Line 1,"25,913350780804922"
21-02-2022 09:35:15 UTC,7352210450,Line 1,"25,913350780804922"
21-02-2022 09:35:17 UTC,7352210450,Line 1,"25,913350780804922"
21-02-2022 09:35:19 UTC,7352210450,Line 1,"25,913350780804922"
21-02-2022 09:35:21 UTC,7352210450,Line 1,"25,21592676639557"
21-02-2022 09:35:23 UTC,7352210450,Line 1,"25,21592676639557"
21-02-2022 09:35:25 UTC,7352210450,Line 1,"24,867214759190848"
21-02-2022 09:35:27 UTC,7352210450,Line 1,"25,21592676639557"
21-02-2022 09:35:29 UTC,7352210450,Line 1,"24,518502751986215"
21-02-2022 09:35:31 UTC,7352210450,Line 1,"24,867214759190848"
21-02-2022 09:35:33 UTC,7352210450,Line 1,"24,169790744781494"
21-02-2022 09:35:35 UTC,7352210450,Line 1,"23,821078737576773"
21-02-2022 09:35:37 UTC,7352210450,Line 1,"24,169790744781494"
21-02-2022 09:35:39 UTC,7352210450,Line 1,"24,169790744781494"
21-02-2022 09:35:41 UTC,7352210450,Line 1,"24,169790744781494"
21-02-2022 09:35:43 UTC,7352210450,Line 1,"24,169790744781494"
21-02-2022 09:35:45 UTC,7352210450,Line 1,"23,47236673037214"
21-02-2022 09:35:47 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:35:49 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:35:51 UTC,7352210450,Line 1,"22,7749427159627"
21-02-2022 09:35:54 UTC,7352210450,Line 1,"23,47236673037214"
21-02-2022 09:35:56 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:35:58 UTC,7352210450,Line 1,"23,47236673037214"
21-02-2022 09:36:00 UTC,7352210450,Line 1,"22,7749427159627"
21-02-2022 09:36:02 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:36:04 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:36:06 UTC,7352210450,Line 1,"21,728806694348624"
21-02-2022 09:36:08 UTC,7352210450,Line 1,"22,426230708758066"
21-02-2022 09:36:10 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:12 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:14 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:16 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:18 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:20 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:22 UTC,7352210450,Line 1,"23,12365472316742"
21-02-2022 09:36:24 UTC,7352210450,Line 1,"22,426230708758066"
21-02-2022 09:36:26 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:28 UTC,7352210450,Line 1,"21,38009468714399"
21-02-2022 09:36:30 UTC,7352210450,Line 1,"21,728806694348624"
21-02-2022 09:36:32 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:35 UTC,7352210450,Line 1,"22,077518701553345"
21-02-2022 09:36:37 UTC,7352210450,Line 1,"21,728806694348624"
